area_type,availability,location,size,society,total_sqft,bath,balcony,price,adjusted_price
Super built-up  Area,Ready To Move,Powai,2 BHK,MenueNo,1185,2.0,2.0,42.67,42.67
Super built-up  Area,Ready To Move,Santacruz,13 BHK,,5425,13.0,0.0,275.0,275.0
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Bregae ,1800,3.0,2.0,125.0,125.0
Super built-up  Area,17-May,Khar,2 BHK,,940,2.0,1.0,44.0,44.0
Plot  Area,Ready To Move,Borivali,4 Bedroom,,1200,4.0,2.0,135.0,135.0
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,1530,3.0,2.0,71.0,71.0
Built-up  Area,Ready To Move,Dadar,2 BHK,Viine P,1050,2.0,1.0,48.0,57.599999999999994
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prldsri,929,2.0,2.0,49.0,49.0
Built-up  Area,Ready To Move,Santacruz,4 Bedroom,,3750,5.0,3.0,145.0,145.0
Super built-up  Area,Ready To Move,Powai,3 BHK,PaantPl,1530,3.0,3.0,75.0,75.0
Plot  Area,Ready To Move,Malad,2 Bedroom,,900,2.0,1.0,48.0,48.0
Super built-up  Area,Ready To Move,Powai,2 BHK,,978,2.0,1.0,34.22,34.22
Built-up  Area,Ready To Move,Kurla,4 BHK,Prowshi,4041,4.0,2.0,345.0,345.0
Super built-up  Area,Ready To Move,Lower Parel,1 BHK,,770,1.0,2.0,43.82,43.82
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,1066,2.0,3.0,55.0,55.0
Super built-up  Area,Ready To Move,Andheri,1 BHK,Palleon,635,1.0,0.0,28.0,33.6
Super built-up  Area,Ready To Move,Chembur,2 BHK,Arria G,1015,2.0,1.0,45.0,45.0
Built-up  Area,Ready To Move,Chembur,2 BHK,AraraSa,1175,2.0,0.0,54.05,54.05
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1200,4.0,2.0,130.0,130.0
Super built-up  Area,18-May,Worli,2 BHK,,1188,2.0,1.0,50.0,50.0
Plot  Area,Ready To Move,Dadar,5 Bedroom,,2400,5.0,2.0,700.0,840.0
Super built-up  Area,19-Oct,Santacruz,1 BHK,,620,1.0,1.0,25.0,25.0
Built-up  Area,Ready To Move,Andheri,2 BHK,Prsichi,1210,2.0,0.0,75.0,90.0
Plot  Area,18-Apr,Ghatkopar,3 Bedroom,Goe 2me,1000,3.0,1.0,90.0,90.0
Super built-up  Area,Ready To Move,Juhu,3 BHK,Suavea ,1500,2.0,,99.0,128.70000000000002
Plot  Area,Ready To Move,Santacruz,4 Bedroom,Aroveth,1800,3.0,2.0,190.0,190.0
Super built-up  Area,Ready To Move,Khar,2 BHK,MenueNo,1185,2.0,2.0,43.66,43.66
Built-up  Area,Ready To Move,Khar,3 BHK,V2lasna,1600,3.0,3.0,130.0,130.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1100,2.0,1.0,28.0,33.6
Super built-up  Area,Ready To Move,Juhu,2 BHK,Jatish ,1300,2.0,2.0,69.23,89.99900000000001
Super built-up  Area,Ready To Move,Dadar,2 BHK,MSopsw ,1100,2.0,1.0,68.0,81.6
Super built-up  Area,19-Apr,Kurla,2 BHK,Sisice ,860,2.0,1.0,28.93,28.93
Super built-up  Area,18-Jun,Vile Parle,2 BHK,,1007,2.0,1.0,64.0,64.0
Super built-up  Area,Ready To Move,Khar,2 BHK,SagasSa,1100,2.0,2.0,48.0,48.0
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,SMuilan,1187,2.0,1.0,38.0,38.0
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1150,2.0,2.0,72.0,72.0
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Vancyat,2400,3.0,2.0,252.0,252.0
Super built-up  Area,18-Apr,Worli,2 BHK,,1180,2.0,3.0,41.94,41.94
Super built-up  Area,Ready To Move,Juhu,3 BHK,PrityTr,1820,3.0,2.0,85.2,110.76
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1200,6.0,3.0,180.0,234.0
Plot  Area,Ready To Move,Colaba,3 Bedroom,,2400,6.0,2.0,775.0,1007.5
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3628,4.0,1.0,246.0,246.0
Built-up  Area,Ready To Move,Borivali,3 BHK,KSideas,1430,3.0,2.0,70.0,70.0
Super built-up  Area,21-Jan,Andheri,2 BHK,PrarePa,700,2.0,1.0,40.0,48.0
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1200,1.0,0.0,70.0,91.0
Super built-up  Area,20-Dec,Kurla,2 BHK,Shmes O,1165,2.0,1.0,40.77,40.77
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1569,3.0,2.0,118.0,118.0
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1950,4.0,3.0,95.0,95.0
Plot  Area,Ready To Move,Malad,2 Bedroom,,1200,3.0,1.0,70.0,70.0
Super built-up  Area,Ready To Move,Andheri,3 BHK,,2437,3.0,2.0,125.0,150.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,,950,2.0,2.0,46.7,60.71000000000001
Built-up  Area,18-Jul,Ghatkopar,3 BHK,NiCodCa,1685,3.0,3.0,115.0,115.0
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3270,4.0,3.0,205.0,205.0
Super built-up  Area,Ready To Move,Powai,2 BHK,Maantr ,1314,2.0,2.0,110.0,110.0
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3.0,2.0,40.0,40.0
Built-up  Area,Ready To Move,Lower Parel,2 BHK,AmthaIn,1130,2.0,2.0,68.0,68.0
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,1200,9.0,3.0,122.0,122.0
Plot  Area,Ready To Move,Juhu,6 Bedroom,,890,5.0,2.0,160.0,208.0
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,857,3.0,2.0,95.0,95.0
Super built-up  Area,Ready To Move,Kurla,3 BHK,Santste,2247,3.0,,145.0,145.0
Super built-up  Area,Ready To Move,Worli,3 BHK,Valdsic,1550,3.0,2.0,85.0,85.0
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SMaxyay,1715,2.0,2.0,100.0,100.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,Koagati,1053,2.0,1.0,53.0,53.0
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,3.0,0.0,50.0,50.0
Plot  Area,Ready To Move,Khar,3 Bedroom,,1800,2.0,1.0,230.0,230.0
Built-up  Area,Ready To Move,Powai,5 Bedroom,,2400,4.0,0.0,97.0,97.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,Seityen,1245,1.0,3.0,60.0,78.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,Proodt ,1320,2.0,1.0,160.0,160.0
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,PrOakSi,3940,5.0,3.0,265.0,265.0
Built-up  Area,Ready To Move,Santacruz,3 BHK,Pronyt ,1241,2.0,1.0,65.0,65.0
Built-up  Area,Ready To Move,Colaba,3 BHK,BriumMi,2980,4.0,2.0,260.0,338.0
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,600,5.0,3.0,130.0,130.0
Super built-up  Area,Ready To Move,Mulund,2 BHK,Vaw 1il,1090,2.0,2.0,57.0,57.0
Super built-up  Area,Ready To Move,Malad,3 BHK,ViisePa,1390,2.0,1.0,50.0,50.0
Plot  Area,Ready To Move,Malad,8 Bedroom,,600,4.0,3.0,175.0,175.0
Super built-up  Area,Ready To Move,Mulund,3 BHK,Leora D,2750,5.0,2.0,275.0,275.0
Super built-up  Area,21-Dec,Dadar,3 BHK,PrarePa,1100,2.0,1.0,52.97,63.56399999999999
Built-up  Area,Ready To Move,Powai,2 BHK,HawerMa,1350,2.0,2.0,103.0,103.0
Built-up  Area,Ready To Move,Bandra,2 BHK,,800,2.0,2.0,55.0,55.0
Super built-up  Area,Ready To Move,Worli,3 BHK,Klark L,1787,3.0,2.0,116.0,116.0
Built-up  Area,Ready To Move,Bandra,3 BHK,,2400,3.0,2.0,220.0,220.0
Super built-up  Area,Ready To Move,Goregaon,4 BHK,Oznzaes,3700,4.0,2.0,325.0,325.0
Super built-up  Area,Ready To Move,Malad,3 BHK,Klark L,1691,3.0,2.0,93.01,93.01
Super built-up  Area,18-Jul,Powai,4 BHK,Rosha I,2119,4.0,3.0,111.0,111.0
Plot  Area,18-Mar,Kurla,3 Bedroom,Theanmp,2325,3.0,,95.0,95.0
Plot  Area,Ready To Move,Vile Parle,5 Bedroom,,570,5.0,0.0,80.0,80.0
Super built-up  Area,Ready To Move,Worli,3 BHK,DLhtsnd,1896,3.0,2.0,102.0,102.0
Super built-up  Area,17-Oct,Juhu,3 BHK,Naiewre,1540,3.0,2.0,48.51,63.063
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1244,2.0,2.0,95.0,95.0
Super built-up  Area,Ready To Move,Bandra,3 BHK,Naandit,1365,2.0,2.0,65.0,65.0
Super built-up  Area,18-May,Colaba,1 BHK,SaSkyBl,580,1.0,1.0,27.5,35.75
Super built-up  Area,18-Dec,Andheri,3 BHK,Magiaya,1355,3.0,2.0,83.87,100.644
Plot  Area,Ready To Move,Khar,3 Bedroom,,1500,4.0,2.0,180.0,180.0
Super built-up  Area,Ready To Move,Powai,2 BHK,HMityld,1513,2.0,3.0,62.0,62.0
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1175,2.0,1.0,41.13,41.13
Super built-up  Area,17-Jan,Khar,3 BHK,Soitya ,2087,4.0,2.0,139.0,139.0
Super built-up  Area,21-Dec,Dadar,3 BHK,Sodgere,2273,3.0,2.0,145.0,174.0
Super built-up  Area,19-May,Powai,3 BHK,G conTh,2050,3.0,2.0,150.0,150.0
Built-up  Area,Ready To Move,Vile Parle,2 Bedroom,,1200,2.0,1.0,75.0,75.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1190,2.0,3.0,59.0,59.0
Super built-up  Area,Ready To Move,Santacruz,4 BHK,,600,3.0,2.0,85.0,85.0
Super built-up  Area,18-Apr,Kurla,2 BHK,,1019,2.0,2.0,49.86,49.86
Super built-up  Area,Ready To Move,Bandra,3 BHK,Prtanha,1830,3.0,2.0,133.0,133.0
Plot  Area,Ready To Move,Goregaon,7 Bedroom,,4278,7.0,1.0,299.0,299.0
Super built-up  Area,Ready To Move,Andheri,2 BHK,MamelKa,1028,2.0,1.0,56.0,67.2
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sastaat,1300,2.0,2.0,100.0,100.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,Maoma P,1160,2.0,1.0,67.0,67.0
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1505,3.0,2.0,78.0,78.0
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1250,2.0,1.0,55.55,55.55
Plot  Area,Ready To Move,Colaba,1 Bedroom,,400,2.0,1.0,50.0,65.0
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1175,2.0,1.0,41.68,41.68
Super built-up  Area,Ready To Move,Juhu,2 BHK,Smrryny,1100,2.0,2.0,57.6,74.88000000000001
Super built-up  Area,Ready To Move,Goregaon,3 BHK,PrBayGa,2159,3.0,2.0,120.0,120.0
Super built-up  Area,18-May,Malad,2 BHK,Jurdsig,1230,2.0,1.0,56.45,56.45
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,4.0,2.0,180.0,180.0
Built-up  Area,Ready To Move,Kurla,5 Bedroom,,3100,6.0,1.0,165.0,165.0
Super built-up  Area,18-Jun,Santacruz,5 BHK,Brica E,4500 - 5540,7.0,0.0,287.0,287.0
Built-up  Area,Ready To Move,Malad,1 Bedroom,,1200,1.0,0.0,48.0,48.0
Super built-up  Area,Ready To Move,Borivali,2 BHK,Chisei ,1340,2.0,1.0,71.0,71.0
Super built-up  Area,Ready To Move,Khar,3 BHK,Vimesar,1750,2.0,2.0,89.0,89.0
Super built-up  Area,Ready To Move,Khar,2 BHK,,1400,2.0,1.0,100.0,100.0
Built-up  Area,Ready To Move,Vile Parle,3 BHK,,1350,3.0,0.0,60.0,60.0
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Reion M,1675,3.0,3.0,62.0,62.0
Super built-up  Area,21-Dec,Santacruz,2 BHK,Bhe 2ko,1340,2.0,1.0,66.33,66.33
Built-up  Area,Ready To Move,Goregaon,2 Bedroom,,600,1.0,0.0,68.0,68.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,Vandak ,1276,2.0,2.0,76.0,98.8
Super built-up  Area,Ready To Move,Chembur,3 BHK,Srdor S,1738,2.0,3.0,76.0,76.0
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1190,2.0,2.0,59.9,59.9
Super built-up  Area,18-Apr,Khar,2 BHK,Prarkun,1128,2.0,1.0,65.45,65.45
Super built-up  Area,Ready To Move,Kurla,2 BHK,Shnto F,1250,2.0,1.0,55.0,55.0
Built-up  Area,Ready To Move,Juhu,2 BHK,Soarkge,1450,2.0,2.0,90.0,117.0
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,MRvar S,1084,2.0,1.0,53.0,53.0
Built-up  Area,Ready To Move,Dadar,4 BHK,,2150,4.0,2.0,90.0,108.0
Built-up  Area,Ready To Move,Ghatkopar,4 Bedroom,,6000,4.0,0.0,625.0,625.0
Plot  Area,Ready To Move,Malad,4 Bedroom,,600,3.0,0.0,77.0,77.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,Kelmsoy,1250,2.0,2.0,65.0,65.0
Plot  Area,Ready To Move,Andheri,3 Bedroom,,2400,4.0,1.0,240.0,288.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,Spews L,1304,3.0,0.0,65.0,65.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,Brway G,1640,3.0,2.0,268.0,268.0
Built-up  Area,Ready To Move,Andheri,2 BHK,Brnia G,980,2.0,1.0,77.44,92.928
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Sumesa ,1275,2.0,2.0,49.5,49.5
Plot  Area,Ready To Move,Colaba,1 Bedroom,,10030,1.0,1.0,150.0,195.0
Plot  Area,Ready To Move,Worli,3 Bedroom,,2500,4.0,0.0,140.0,140.0
Built-up  Area,Ready To Move,Khar,4 Bedroom,,3600,4.0,0.0,225.0,225.0
Plot  Area,Ready To Move,Khar,3 Bedroom,SRbiaxu,2400,4.0,0.0,95.0,95.0
Super built-up  Area,Ready To Move,Mulund,3 BHK,Prlis A,2300,3.0,2.0,280.0,280.0
Super built-up  Area,18-May,Malad,3 BHK,Wiowsri,1450,2.0,2.0,70.18,70.18
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,MVnexde,890,2.0,1.0,40.0,40.0
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Esave E,1340,2.0,3.0,85.0,85.0
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1100,2.0,1.0,75.0,75.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,VBvenal,750,2.0,1.0,40.0,40.0
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,700,4.0,2.0,125.0,125.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,DLhtsnd,1300,2.0,2.0,66.0,66.0
Super built-up  Area,21-Dec,Kurla,2 BHK,,1301,2.0,1.0,120.0,120.0
Built-up  Area,Ready To Move,Khar,9 Bedroom,,3200,8.0,1.0,130.0,130.0
Plot  Area,Ready To Move,Powai,3 Bedroom,,1900,2.0,,92.0,92.0
Super built-up  Area,19-Jul,Borivali,2 BHK,Soazak ,1299,2.0,1.0,105.0,105.0
Super built-up  Area,18-May,Santacruz,3 BHK,,1250,3.0,3.0,40.0,40.0
Plot  Area,Ready To Move,Andheri,4 Bedroom,Ieuseut,1600,4.0,2.0,300.0,360.0
Super built-up  Area,Ready To Move,Colaba,2 BHK,Sothin ,925,2.0,1.0,55.0,71.5
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,Sreat R,3900,3.0,3.0,250.0,250.0
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1107,2.0,1.0,45.0,45.0
Plot  Area,Ready To Move,Borivali,2 Bedroom,,1400,2.0,2.0,160.0,160.0
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1300,2.0,1.0,67.0,67.0
Built-up  Area,Ready To Move,Chembur,2 BHK,,570,2.0,1.0,62.0,62.0
Super built-up  Area,Ready To Move,Borivali,3 BHK,MadorSp,1715,3.0,2.0,95.0,95.0
Built-up  Area,Ready To Move,Juhu,2 BHK,,1200,2.0,1.0,55.0,71.5
Plot  Area,Ready To Move,Khar,6 Bedroom,,1200,5.0,1.0,280.0,280.0
Super built-up  Area,Ready To Move,Khar,2 BHK,,703,2.0,1.0,60.0,60.0
Super built-up  Area,18-Sep,Juhu,2 BHK,,921,2.0,2.0,29.47,38.311
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Saavean,1144,2.0,2.0,65.0,65.0
Super built-up  Area,21-Jan,Powai,1 BHK,PrarePa,525,1.0,1.0,26.01,26.01
Super built-up  Area,Ready To Move,Chembur,3 BHK,Asnex A,1400,2.0,2.0,56.0,56.0
Super built-up  Area,18-Jun,Khar,1 BHK,Soresea,661,1.0,1.0,33.0,33.0
Plot  Area,Ready To Move,Andheri,6 Bedroom,,1200,6.0,2.0,160.0,192.0
Built-up  Area,Ready To Move,Worli,5 BHK,,1200,5.0,2.0,70.0,70.0
Super built-up  Area,Ready To Move,Borivali,3 BHK,Prensya,1705,3.0,1.0,91.0,91.0
Plot  Area,Ready To Move,Powai,5 Bedroom,,1035,5.0,1.0,170.0,170.0
Super built-up  Area,Ready To Move,Dadar,3 BHK,SRldsnt,1430,2.0,0.0,55.0,66.0
Super built-up  Area,Ready To Move,Dadar,2 BHK,Srconor,1240,2.0,2.0,55.0,66.0
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1325,2.0,2.0,60.8,60.8
Super built-up  Area,Ready To Move,Kurla,2 BHK,MenueNo,1230,2.0,2.0,44.0,44.0
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1000,2.0,3.0,28.0,28.0
Plot  Area,Ready To Move,Colaba,4 Bedroom,,740,2.0,1.0,24.5,31.85
Super built-up  Area,Ready To Move,Powai,3 BHK,SLnssPr,1330,2.0,2.0,46.45,46.45
Super built-up  Area,Ready To Move,Dadar,4 BHK,Adeatlm,3005,5.0,,275.0,330.0
Super built-up  Area,Ready To Move,Khar,3 BHK,FBazaah,1300,3.0,2.0,170.0,170.0
Super built-up  Area,Ready To Move,Worli,2 BHK,RInceeg,1243,2.0,2.0,46.0,46.0
Built-up  Area,Ready To Move,Andheri,4 Bedroom,,936,2.0,1.0,60.84,73.008
Super built-up  Area,18-Apr,Chembur,3 BHK,,1500,2.0,2.0,100.0,100.0
Plot  Area,Ready To Move,Colaba,3 Bedroom,,1200,4.0,1.0,156.0,202.8
Built-up  Area,Ready To Move,Lower Parel,2 BHK,,1073,2.0,2.0,72.0,72.0
Built-up  Area,Ready To Move,Borivali,2 BHK,GKityde,1300,2.0,2.0,56.0,56.0
Plot  Area,18-May,Vile Parle,4 Bedroom,Prldsum,4201,4.0,3.0,435.0,435.0
Built-up  Area,18-Dec,Colaba,2 BHK,,1065,2.0,1.0,30.75,39.975
Super built-up  Area,18-Apr,Mulund,2 BHK,Prtates,1216,2.0,1.0,66.88,66.88
Built-up  Area,Ready To Move,Dadar,3 BHK,DLhtsen,1252,3.0,2.0,59.0,70.8
Super built-up  Area,19-Aug,Dadar,2 BHK,,1196,2.0,1.0,44.8,53.76
Built-up  Area,Ready To Move,Andheri,2 BHK,Srrnasa,1027,2.0,2.0,44.0,52.8
Plot  Area,Ready To Move,Worli,3 Bedroom,,610,2.0,1.0,75.0,75.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1270,2.0,2.0,57.15,57.15
Super built-up  Area,16-Nov,Andheri,2 BHK,Prs 2hi,1171,2.0,2.0,39.0,46.8
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1215,2.0,3.0,48.6,48.6
Plot  Area,Ready To Move,Santacruz,1 Bedroom,,600,1.0,0.0,20.0,20.0
Super built-up  Area,19-Dec,Kurla,2 BHK,Oreldhi,1180,2.0,1.0,77.0,77.0
Built-up  Area,18-Aug,Dadar,2 BHK,Sryalan,1160,2.0,1.0,33.51,40.211999999999996
Plot  Area,Ready To Move,Juhu,4 Bedroom,LGrldti,4382,4.0,3.0,400.0,520.0
Super built-up  Area,20-Sep,Andheri,3 BHK,Goted U,2140,3.0,2.0,139.0,166.79999999999998
Super built-up  Area,Ready To Move,Andheri,3 BHK,GoandAc,1500,3.0,1.0,100.0,120.0
Super built-up  Area,Ready To Move,Mulund,2 BHK,Naavehi,1008,2.0,2.0,52.0,52.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,SoechHa,1921,4.0,3.0,129.0,167.70000000000002
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Puncyya,1127,2.0,2.0,32.0,32.0
Super built-up  Area,18-May,Borivali,3 BHK,Pumesim,1621,3.0,1.0,124.0,124.0
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,2400,3.0,0.0,360.0,360.0
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1030,2.0,2.0,77.25,100.425
Super built-up  Area,18-Aug,Juhu,2 BHK,,1314,2.0,1.0,84.0,109.2
Super built-up  Area,Ready To Move,Kurla,3 BHK,GRhtiru,1220,3.0,1.0,56.0,56.0
Plot  Area,18-Mar,Borivali,4 Bedroom,,600,3.0,1.0,97.0,97.0
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Meowns ,1590,2.0,3.0,85.0,85.0
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,703,2.0,1.0,49.5,49.5
Super built-up  Area,18-Aug,Colaba,3 BHK,Maunt M,1795,3.0,2.0,64.62,84.00600000000001
Built-up  Area,Ready To Move,Lower Parel,4 Bedroom,,3000,3.0,0.0,132.0,132.0
Super built-up  Area,18-Dec,Borivali,4 BHK,Klark L,4395,4.0,2.0,242.0,242.0
Super built-up  Area,Ready To Move,Bandra,2 BHK,KBityo ,825,2.0,1.0,35.0,35.0
Super built-up  Area,18-Dec,Khar,4 BHK,Nileyap,4025,6.0,1.0,350.0,350.0
Super built-up  Area,22-Jan,Andheri,3 BHK,,1254,2.0,1.0,70.0,84.0
Built-up  Area,Ready To Move,Colaba,3 BHK,,2040,3.0,2.0,114.0,148.20000000000002
Super built-up  Area,Ready To Move,Bandra,3 BHK,Prtanha,2215,4.0,2.0,154.0,154.0
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Tahtsla,1478,2.0,2.0,125.0,125.0
Super built-up  Area,Ready To Move,Worli,3 BHK,Sariaat,2475,4.0,3.0,337.0,337.0
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Bhacy L,1669,3.0,2.0,298.0,298.0
Super built-up  Area,Ready To Move,Borivali,3 BHK,Roarkan,1820,3.0,2.0,79.5,79.5
Super built-up  Area,19-Dec,Andheri,3 BHK,Prhar G,1623,3.0,1.0,89.0,106.8
Super built-up  Area,Ready To Move,Worli,2 BHK,RInceeg,1243,2.0,2.0,46.0,46.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,Elodsre,1200,2.0,2.0,40.5,40.5
Super built-up  Area,Ready To Move,Andheri,3 BHK,Sklls C,1613,3.0,3.0,72.0,86.39999999999999
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Almid P,1293,2.0,2.0,80.0,80.0
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Corus C,1065,2.0,2.0,28.5,28.5
Super built-up  Area,18-Apr,Kurla,2 BHK,SunetSo,940,2.0,1.0,69.57,69.57
Super built-up  Area,Ready To Move,Worli,3 BHK,Trurea ,1181,2.0,1.0,65.0,65.0
Super built-up  Area,Ready To Move,Juhu,3 BHK,Sariaat,2215,3.0,2.0,275.0,357.5
Built-up  Area,Ready To Move,Worli,1 BHK,RookaJh,1100,2.0,,75.0,75.0
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1050,2.0,1.0,36.0,36.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,Mayne A,1260,2.0,1.0,75.0,75.0
Super built-up  Area,Ready To Move,Khar,5 BHK,,2800,3.0,2.0,425.0,425.0
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1500,3.0,2.0,56.0,67.2
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,Coronte,1200,6.0,3.0,132.0,132.0
Plot  Area,18-May,Chembur,2 Bedroom,,1000,2.0,0.0,66.0,66.0
Super built-up  Area,Ready To Move,Chembur,3 BHK,PaantPl,1530,3.0,3.0,73.0,73.0
Super built-up  Area,Ready To Move,Worli,2 BHK,NRosete,1140,2.0,2.0,46.0,46.0
Super built-up  Area,Ready To Move,Dadar,3 BHK,AlEcone,1864,3.0,3.0,115.0,138.0
Built-up  Area,Ready To Move,Chembur,3 BHK,Coa It ,1575,3.0,3.0,55.0,55.0
Plot  Area,18-Dec,Santacruz,3 Bedroom,AkArkti,1200,3.0,,105.0,105.0
Super built-up  Area,Ready To Move,Borivali,2 BHK,Deade A,945,2.0,1.0,45.0,45.0
Super built-up  Area,Ready To Move,Malad,3 BHK,Klark L,1691,3.0,2.0,100.0,100.0
Plot  Area,Ready To Move,Khar,2 Bedroom,,1200,2.0,3.0,135.0,135.0
Built-up  Area,18-Aug,Mulund,3 BHK,Sryalan,1220,3.0,1.0,35.25,35.25
Built-up  Area,Ready To Move,Andheri,1 BHK,KHnumla,600,1.0,1.0,35.0,42.0
Super built-up  Area,18-Aug,Goregaon,2 BHK,SSdhimr,1160,2.0,2.0,39.0,39.0
Super built-up  Area,Ready To Move,Colaba,3 BHK,AlEcone,1950,2.0,,89.5,116.35000000000001
Super built-up  Area,Ready To Move,Khar,3 BHK,Prlla C,1650,3.0,1.0,85.0,85.0
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,2400,4.0,1.0,150.0,150.0
Super built-up  Area,Ready To Move,Santacruz,2 BHK,SLtias ,795,1.0,1.0,32.6,32.6
Plot  Area,Ready To Move,Colaba,5 Bedroom,,800,5.0,1.0,95.0,123.5
Plot  Area,Ready To Move,Juhu,5 Bedroom,,1400,5.0,1.0,97.0,126.10000000000001
Super built-up  Area,Ready To Move,Bandra,3 BHK,,2285,4.0,1.0,165.0,165.0
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,RInceeg,1243,2.0,2.0,46.0,46.0
Super built-up  Area,Ready To Move,Juhu,2 BHK,DiiteR ,1263,2.0,1.0,51.5,66.95
Super built-up  Area,Ready To Move,Powai,5 BHK,,1200,4.0,2.0,115.0,115.0
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SLureSi,1345,2.0,1.0,69.0,69.0
Built-up  Area,Ready To Move,Chembur,5 Bedroom,,4400,5.0,3.0,240.0,240.0
Super built-up  Area,Ready To Move,Juhu,3 BHK,GMown E,1360,2.0,1.0,58.0,75.4
Super built-up  Area,Ready To Move,Powai,2 BHK,,1026,2.0,1.0,60.55,60.55
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1050,2.0,2.0,38.0,38.0
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1460,3.0,3.0,76.0,76.0
Super built-up  Area,Ready To Move,Malad,3 BHK,,1525,2.0,2.0,91.48,91.48
Built-up  Area,Ready To Move,Lower Parel,3 BHK,PuandHi,1843,3.0,2.0,85.0,85.0
Super built-up  Area,18-Aug,Bandra,2 BHK,,1000,2.0,3.0,25.0,25.0
Super built-up  Area,Ready To Move,Powai,3 BHK,KHage G,1642,2.0,1.0,115.0,115.0
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,1200,2.0,0.0,66.0,66.0
Super built-up  Area,Ready To Move,Mulund,2 BHK,,975,2.0,1.0,60.0,60.0
