area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-May,Dadar,3 BHK,Alestrb,1890,4,3,125
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1069,2,2,55
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,KHityry,750,1,1,18.5
Plot  Area,Ready To Move,Powai,4 Bedroom,,675,4,0,140
Built-up  Area,17-Dec,Vile Parle,3 Bedroom,,2400,3,1,177
Plot  Area,Ready To Move,Kurla,5 Bedroom,,1200,4,2,240
Plot  Area,Ready To Move,Mulund,4 Bedroom,,1410,2,0,280
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Eladero,1680,3,3,130
Super built-up  Area,Ready To Move,Khar,3 BHK,,3500,4,2,500
Super built-up  Area,18-Jul,Powai,3 BHK,PualeSk,1700,3,2,93.5
Plot  Area,Ready To Move,Mulund,4 Bedroom,,2200,2,0,150
Super built-up  Area,Ready To Move,Kurla,3 BHK,Bhmesy ,1595,3,1,105
Super built-up  Area,15-Nov,Dadar,3 BHK,,1480,3,,100
Plot  Area,Ready To Move,Kurla,3 Bedroom,,1092,3,1,95
Super built-up  Area,19-Sep,Powai,3 BHK,Prood P,1866,4,2,245
Super built-up  Area,Ready To Move,Borivali,3 BHK,RMudeat,3895,3,2,390
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1683,3,2,115
Super built-up  Area,Ready To Move,Dadar,2 BHK,Tavenew,545,2,1,22.34
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1340,2,2,73
Built-up  Area,21-Dec,Colaba,3 BHK,,1100,3,2,53
Plot  Area,Ready To Move,Juhu,1 Bedroom,,2000,1,0,200
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Sriffhi,1185,2,2,56
Super built-up  Area,18-Aug,Khar,2 BHK,SuVue S,1025,2,2,27.68
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,DSimaUl,1730,3,1,95
Super built-up  Area,19-Sep,Khar,3 BHK,Orens G,1450,3,1,88.6
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Ceiti I,1862,4,1,110
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,Adeatlm,4000,5,1,578
Built-up  Area,Ready To Move,Powai,3 BHK,Brica E,2430,5,2,180
Super built-up  Area,20-Sep,Juhu,1 BHK,Ranuetz,783 - 943,1,0,40.55
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1170,2,3,50
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Prionve,1075,2,2,50
Super built-up  Area,Ready To Move,Bandra,2 BHK,Niiewin,1060,2,1,34
Super built-up  Area,17-Jun,Andheri,2 BHK,,850,2,2,32
Super built-up  Area,Ready To Move,Mulund,2 BHK,Sashaa ,935,2,1,45.9
Built-up  Area,Ready To Move,Juhu,4 BHK,Mauner ,1905,3,,86
Built-up  Area,Ready To Move,Juhu,6 Bedroom,,2000,6,3,300
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Aklia R,1125,2,1,47
Plot  Area,Ready To Move,Powai,6 Bedroom,,600,6,2,75
Built-up  Area,Ready To Move,Andheri,4 Bedroom,,1500,4,1,105
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Malmser,1725,3,3,85
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1120,2,3,36
Super built-up  Area,Ready To Move,Juhu,3 BHK,Vaontos,1750,2,2,75
Super built-up  Area,18-Jul,Dadar,3 BHK,,2000,3,2,77
Built-up  Area,Ready To Move,Kurla,3 BHK,Saa 2Ai,1745,3,3,98
Plot  Area,Ready To Move,Dadar,5 Bedroom,,750,3,1,95
Super built-up  Area,Ready To Move,Malad,3 BHK,Ayaya A,1270,2,2,55.25
Super built-up  Area,Ready To Move,Colaba,5 BHK,Emine P,5384,5,3,420
Super built-up  Area,Ready To Move,Malad,2 BHK,NCensun,1180,2,2,72
Built-up  Area,Ready To Move,Powai,2 BHK,SwionMa,1130,2,1,75
Super built-up  Area,18-Dec,Colaba,4 BHK,Jaades ,2774,4,3,197
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SoystAm,1723,3,2,95
Built-up  Area,Ready To Move,Mulund,2 BHK,PrntaEn,1175,2,2,70.5
Super built-up  Area,Ready To Move,Chembur,3 BHK,Dimes E,1607,2,2,112
Built-up  Area,18-May,Mulund,2 BHK,Ocuil T,1334,2,1,62
Built-up  Area,Ready To Move,Colaba,5 Bedroom,,2800,5,3,130
Super built-up  Area,19-Mar,Santacruz,3 BHK,NiCodCa,1138,3,2,128
Super built-up  Area,19-Dec,Andheri,2 BHK,,1113,2,1,70
Built-up  Area,Ready To Move,Santacruz,3 BHK,NaensGa,1300,2,2,58
Plot  Area,Ready To Move,Khar,4 Bedroom,,2400,4,,350
Built-up  Area,Ready To Move,Kurla,2 BHK,,1200,2,2,60
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1900,3,2,190
Super built-up  Area,Ready To Move,Borivali,4 BHK,Lecco C,5150,4,3,559
Plot  Area,Ready To Move,Mulund,5 Bedroom,,1200,5,,290
Super built-up  Area,18-Dec,Santacruz,4 BHK,Goted U,2956,5,,234
Plot  Area,Ready To Move,Lower Parel,5 Bedroom,,1100,5,1,165
Super built-up  Area,18-May,Goregaon,2 BHK,Prcesvy,1398,2,1,97
Plot  Area,Ready To Move,Malad,2 Bedroom,,1152,1,0,66
Plot  Area,Ready To Move,Worli,4 Bedroom,,1200,5,,325
Super built-up  Area,Ready To Move,Worli,2 BHK,,1110,2,2,44.95
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sarch M,1116,2,1,47
Super built-up  Area,Ready To Move,Powai,2 BHK,ARngsd ,1061,2,1,33.84
Super built-up  Area,Ready To Move,Worli,1 BHK,,620,1,1,86.8
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1300,2,2,52
Built-up  Area,Ready To Move,Lower Parel,2 BHK,Shana S,1270,2,2,57
Super built-up  Area,18-Apr,Juhu,2 BHK,,966,2,2,50
Plot  Area,Ready To Move,Juhu,4 Bedroom,,1200,4,1,110
Plot  Area,Ready To Move,Dadar,4 Bedroom,,1320,4,3,249
Super built-up  Area,Ready To Move,Kurla,4 BHK,Emine P,3596,5,1,297
Super built-up  Area,18-May,Juhu,3 BHK,,1630,3,2,131
Super built-up  Area,Ready To Move,Borivali,5 BHK,,600,6,3,72
Plot  Area,Ready To Move,Bandra,4 Bedroom,,600,4,2,60
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Veiewak,1202,2,1,65
Plot  Area,Ready To Move,Dadar,4 Bedroom,,1200,4,2,250
Built-up  Area,Ready To Move,Worli,2 BHK,,1300,2,2,80
Plot  Area,Ready To Move,Goregaon,6 Bedroom,,1200,6,2,330
Super built-up  Area,Ready To Move,Malad,3 BHK,GMown E,1360,2,1,70
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Mileeou,1155,2,1,69.18
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Taonte ,2378,3,1,310
Super built-up  Area,Ready To Move,Bandra,2 BHK,MBrrySt,1011,2,2,38
Built-up  Area,Ready To Move,Goregaon,2 BHK,VaiewV ,1203,2,2,72
Super built-up  Area,19-Dec,Khar,3 BHK,Raard B,1645,3,2,113
Super built-up  Area,Ready To Move,Colaba,3 BHK,Honcyju,1364,2,3,50
Plot  Area,19-Jan,Kurla,2 Bedroom,,1200,1,1,36
Built-up  Area,Ready To Move,Malad,1 BHK,,1050,2,2,41
Super built-up  Area,Ready To Move,Powai,3 BHK,,1365,3,3,66
Super built-up  Area,Ready To Move,Dadar,3 BHK,DLhtsen,1252,3,3,70
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,DLhtsan,1221,3,2,65
Built-up  Area,Ready To Move,Borivali,2 BHK,,1065,2,1,58
Super built-up  Area,Ready To Move,Colaba,3 BHK,Ayaya A,1270,2,1,55.25
Built-up  Area,Ready To Move,Santacruz,2 BHK,KVersuj,1032,2,2,45
Super built-up  Area,Ready To Move,Chembur,4 BHK,,2900,4,2,325
Super built-up  Area,Ready To Move,Colaba,3 BHK,NDivaOl,1515,2,3,69
Super built-up  Area,Ready To Move,Andheri,2 BHK,Daganva,1427,2,2,52
Super built-up  Area,Ready To Move,Malad,2 BHK,,940,2,2,50
Plot  Area,18-Mar,Ghatkopar,5 Bedroom,,800,5,1,95
Super built-up  Area,Ready To Move,Mulund,3 BHK,SNity S,1460,2,2,80
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Adeatlm,2275,4,2,175
Super built-up  Area,21-Sep,Powai,3 BHK,Vasisvi,1522,3,2,90
Plot  Area,19-Jan,Goregaon,3 Bedroom,,3210,4,2,380
Super built-up  Area,Ready To Move,Powai,2 BHK,MenueNo,1185,2,2,42.67
Super built-up  Area,Ready To Move,Santacruz,13 BHK,,5425,13,0,275
Built-up  Area,Ready To Move,Lower Parel,3 BHK,Bregae ,1800,3,2,125
Super built-up  Area,17-May,Khar,2 BHK,,940,2,1,44
Plot  Area,Ready To Move,Borivali,4 Bedroom,,1200,4,2,135
Super built-up  Area,Ready To Move,Goregaon,3 BHK,,1530,3,2,71
Built-up  Area,Ready To Move,Dadar,2 BHK,Viine P,1050,2,1,48
Super built-up  Area,Ready To Move,Bandra,2 BHK,Prldsri,929,2,2,49
Built-up  Area,Ready To Move,Santacruz,4 Bedroom,,3750,5,3,145
Super built-up  Area,Ready To Move,Powai,3 BHK,PaantPl,1530,3,3,75
Plot  Area,Ready To Move,Malad,2 Bedroom,,900,2,1,48
Super built-up  Area,Ready To Move,Powai,2 BHK,,978,2,1,34.22
Built-up  Area,Ready To Move,Kurla,4 BHK,Prowshi,4041,4,2,345
Super built-up  Area,Ready To Move,Lower Parel,1 BHK,,770,1,2,43.82
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,1066,2,3,55
Super built-up  Area,Ready To Move,Andheri,1 BHK,Palleon,635,1,0,28
Super built-up  Area,Ready To Move,Chembur,2 BHK,Arria G,1015,2,1,45
Built-up  Area,Ready To Move,Chembur,2 BHK,AraraSa,1175,2,0,54.05
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1200,4,2,130
Super built-up  Area,18-May,Worli,2 BHK,,1188,2,1,50
Plot  Area,Ready To Move,Dadar,5 Bedroom,,2400,5,2,700
Super built-up  Area,19-Oct,Santacruz,1 BHK,,620,1,1,25
Built-up  Area,Ready To Move,Andheri,2 BHK,Prsichi,1210,2,0,75
Plot  Area,18-Apr,Ghatkopar,3 Bedroom,Goe 2me,1000,3,1,90
Super built-up  Area,Ready To Move,Juhu,3 BHK,Suavea ,1500,2,,99
Plot  Area,Ready To Move,Santacruz,4 Bedroom,Aroveth,1800,3,2,190
Super built-up  Area,Ready To Move,Khar,2 BHK,MenueNo,1185,2,2,43.66
Built-up  Area,Ready To Move,Khar,3 BHK,V2lasna,1600,3,3,130
Super built-up  Area,Ready To Move,Andheri,2 BHK,,1100,2,1,28
Super built-up  Area,Ready To Move,Juhu,2 BHK,Jatish ,1300,2,2,69.23
Super built-up  Area,Ready To Move,Dadar,2 BHK,MSopsw ,1100,2,1,68
Super built-up  Area,19-Apr,Kurla,2 BHK,Sisice ,860,2,1,28.93
Super built-up  Area,18-Jun,Vile Parle,2 BHK,,1007,2,1,64
Super built-up  Area,Ready To Move,Khar,2 BHK,SagasSa,1100,2,2,48
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,SMuilan,1187,2,1,38
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1150,2,2,72
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Vancyat,2400,3,2,252
Super built-up  Area,18-Apr,Worli,2 BHK,,1180,2,3,41.94
Super built-up  Area,Ready To Move,Juhu,3 BHK,PrityTr,1820,3,2,85.2
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1200,6,3,180
Plot  Area,Ready To Move,Colaba,3 Bedroom,,2400,6,2,775
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3628,4,1,246
Built-up  Area,Ready To Move,Borivali,3 BHK,KSideas,1430,3,2,70
Super built-up  Area,21-Jan,Andheri,2 BHK,PrarePa,700,2,1,40
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1200,1,0,70
Super built-up  Area,20-Dec,Kurla,2 BHK,Shmes O,1165,2,1,40.77
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1569,3,2,118
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1950,4,3,95
Plot  Area,Ready To Move,Malad,2 Bedroom,,1200,3,1,70
Super built-up  Area,Ready To Move,Andheri,3 BHK,,2437,3,2,125
Super built-up  Area,Ready To Move,Colaba,2 BHK,,950,2,2,46.7
Built-up  Area,18-Jul,Ghatkopar,3 BHK,NiCodCa,1685,3,3,115
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3270,4,3,205
Super built-up  Area,Ready To Move,Powai,2 BHK,Maantr ,1314,2,2,110
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3,2,40
Built-up  Area,Ready To Move,Lower Parel,2 BHK,AmthaIn,1130,2,2,68
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,1200,9,3,122
Plot  Area,Ready To Move,Juhu,6 Bedroom,,890,5,2,160
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,857,3,2,95
Super built-up  Area,Ready To Move,Kurla,3 BHK,Santste,2247,3,,145
Super built-up  Area,Ready To Move,Worli,3 BHK,Valdsic,1550,3,2,85
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SMaxyay,1715,2,2,100
Super built-up  Area,Ready To Move,Bandra,2 BHK,Koagati,1053,2,1,53
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,3,0,50
Plot  Area,Ready To Move,Khar,3 Bedroom,,1800,2,1,230
Built-up  Area,Ready To Move,Powai,5 Bedroom,,2400,4,0,97
Super built-up  Area,Ready To Move,Colaba,2 BHK,Seityen,1245,1,3,60
Super built-up  Area,Ready To Move,Kurla,2 BHK,Proodt ,1320,2,1,160
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,PrOakSi,3940,5,3,265
Built-up  Area,Ready To Move,Santacruz,3 BHK,Pronyt ,1241,2,1,65
Built-up  Area,Ready To Move,Colaba,3 BHK,BriumMi,2980,4,2,260
Plot  Area,Ready To Move,Lower Parel,6 Bedroom,,600,5,3,130
Super built-up  Area,Ready To Move,Mulund,2 BHK,Vaw 1il,1090,2,2,57
Super built-up  Area,Ready To Move,Malad,3 BHK,ViisePa,1390,2,1,50
Plot  Area,Ready To Move,Malad,8 Bedroom,,600,4,3,175
Super built-up  Area,Ready To Move,Mulund,3 BHK,Leora D,2750,5,2,275
Super built-up  Area,21-Dec,Dadar,3 BHK,PrarePa,1100,2,1,52.97
Built-up  Area,Ready To Move,Powai,2 BHK,HawerMa,1350,2,2,103
Built-up  Area,Ready To Move,Bandra,2 BHK,,800,2,2,55
Super built-up  Area,Ready To Move,Worli,3 BHK,Klark L,1787,3,2,116
Built-up  Area,Ready To Move,Bandra,3 BHK,,2400,3,2,220
Super built-up  Area,Ready To Move,Goregaon,4 BHK,Oznzaes,3700,4,2,325
Super built-up  Area,Ready To Move,Malad,3 BHK,Klark L,1691,3,2,93.01
Super built-up  Area,18-Jul,Powai,4 BHK,Rosha I,2119,4,3,111
Plot  Area,18-Mar,Kurla,3 Bedroom,Theanmp,2325,3,,95
Plot  Area,Ready To Move,Vile Parle,5 Bedroom,,570,5,0,80
Super built-up  Area,Ready To Move,Worli,3 BHK,DLhtsnd,1896,3,2,102
Super built-up  Area,17-Oct,Juhu,3 BHK,Naiewre,1540,3,2,48.51
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1244,2,2,95
Super built-up  Area,Ready To Move,Bandra,3 BHK,Naandit,1365,2,2,65
Super built-up  Area,18-May,Colaba,1 BHK,SaSkyBl,580,1,1,27.5
Super built-up  Area,18-Dec,Andheri,3 BHK,Magiaya,1355,3,2,83.87
Plot  Area,Ready To Move,Khar,3 Bedroom,,1500,4,2,180
Super built-up  Area,Ready To Move,Powai,2 BHK,HMityld,1513,2,3,62
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1175,2,1,41.13
Super built-up  Area,17-Jan,Khar,3 BHK,Soitya ,2087,4,2,139
Super built-up  Area,21-Dec,Dadar,3 BHK,Sodgere,2273,3,2,145
Super built-up  Area,19-May,Powai,3 BHK,G conTh,2050,3,2,150
Built-up  Area,Ready To Move,Vile Parle,2 Bedroom,,1200,2,1,75
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1190,2,3,59
Super built-up  Area,Ready To Move,Santacruz,4 BHK,,600,3,2,85
Super built-up  Area,18-Apr,Kurla,2 BHK,,1019,2,2,49.86
Super built-up  Area,Ready To Move,Bandra,3 BHK,Prtanha,1830,3,2,133
Plot  Area,Ready To Move,Goregaon,7 Bedroom,,4278,7,1,299
Super built-up  Area,Ready To Move,Andheri,2 BHK,MamelKa,1028,2,1,56
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Sastaat,1300,2,2,100
Super built-up  Area,Ready To Move,Kurla,2 BHK,Maoma P,1160,2,1,67
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1505,3,2,78
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1250,2,1,55.55
Plot  Area,Ready To Move,Colaba,1 Bedroom,,400,2,1,50
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1175,2,1,41.68
Super built-up  Area,Ready To Move,Juhu,2 BHK,Smrryny,1100,2,2,57.6
Super built-up  Area,Ready To Move,Goregaon,3 BHK,PrBayGa,2159,3,2,120
Super built-up  Area,18-May,Malad,2 BHK,Jurdsig,1230,2,1,56.45
Plot  Area,Ready To Move,Chembur,3 Bedroom,,1200,4,2,180
Built-up  Area,Ready To Move,Kurla,5 Bedroom,,3100,6,1,165
Super built-up  Area,18-Jun,Santacruz,5 BHK,Brica E,4500 - 5540,7,0,287
Built-up  Area,Ready To Move,Malad,1 Bedroom,,1200,1,0,48
Super built-up  Area,Ready To Move,Borivali,2 BHK,Chisei ,1340,2,1,71
Super built-up  Area,Ready To Move,Khar,3 BHK,Vimesar,1750,2,2,89
Super built-up  Area,Ready To Move,Khar,2 BHK,,1400,2,1,100
Built-up  Area,Ready To Move,Vile Parle,3 BHK,,1350,3,0,60
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Reion M,1675,3,3,62
Super built-up  Area,21-Dec,Santacruz,2 BHK,Bhe 2ko,1340,2,1,66.33
Built-up  Area,Ready To Move,Goregaon,2 Bedroom,,600,1,0,68
Super built-up  Area,Ready To Move,Colaba,2 BHK,Vandak ,1276,2,2,76
Super built-up  Area,Ready To Move,Chembur,3 BHK,Srdor S,1738,2,3,76
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1190,2,2,59.9
Super built-up  Area,18-Apr,Khar,2 BHK,Prarkun,1128,2,1,65.45
Super built-up  Area,Ready To Move,Kurla,2 BHK,Shnto F,1250,2,1,55
Built-up  Area,Ready To Move,Juhu,2 BHK,Soarkge,1450,2,2,90
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,MRvar S,1084,2,1,53
Built-up  Area,Ready To Move,Dadar,4 BHK,,2150,4,2,90
Built-up  Area,Ready To Move,Ghatkopar,4 Bedroom,,6000,4,0,625
Plot  Area,Ready To Move,Malad,4 Bedroom,,600,3,0,77
Super built-up  Area,Ready To Move,Bandra,2 BHK,Kelmsoy,1250,2,2,65
Plot  Area,Ready To Move,Andheri,3 Bedroom,,2400,4,1,240
Super built-up  Area,Ready To Move,Chembur,3 BHK,Spews L,1304,3,0,65
Super built-up  Area,Ready To Move,Chembur,3 BHK,Brway G,1640,3,2,268
Built-up  Area,Ready To Move,Andheri,2 BHK,Brnia G,980,2,1,77.44
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Sumesa ,1275,2,2,49.5
Plot  Area,Ready To Move,Colaba,1 Bedroom,,10030,1,1,150
Plot  Area,Ready To Move,Worli,3 Bedroom,,2500,4,0,140
Built-up  Area,Ready To Move,Khar,4 Bedroom,,3600,4,0,225
Plot  Area,Ready To Move,Khar,3 Bedroom,SRbiaxu,2400,4,0,95
Super built-up  Area,Ready To Move,Mulund,3 BHK,Prlis A,2300,3,2,280
Super built-up  Area,18-May,Malad,3 BHK,Wiowsri,1450,2,2,70.18
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,MVnexde,890,2,1,40
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Esave E,1340,2,3,85
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1100,2,1,75
Super built-up  Area,Ready To Move,Bandra,2 BHK,VBvenal,750,2,1,40
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,700,4,2,125
Super built-up  Area,Ready To Move,Bandra,2 BHK,DLhtsnd,1300,2,2,66
Super built-up  Area,21-Dec,Kurla,2 BHK,,1301,2,1,120
Built-up  Area,Ready To Move,Khar,9 Bedroom,,3200,8,1,130
Plot  Area,Ready To Move,Powai,3 Bedroom,,1900,2,,92
Super built-up  Area,19-Jul,Borivali,2 BHK,Soazak ,1299,2,1,105
Super built-up  Area,18-May,Santacruz,3 BHK,,1250,3,3,40
Plot  Area,Ready To Move,Andheri,4 Bedroom,Ieuseut,1600,4,2,300
Super built-up  Area,Ready To Move,Colaba,2 BHK,Sothin ,925,2,1,55
Plot  Area,Ready To Move,Lower Parel,3 Bedroom,Sreat R,3900,3,3,250
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,1107,2,1,45
Plot  Area,Ready To Move,Borivali,2 Bedroom,,1400,2,2,160
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1300,2,1,67
Built-up  Area,Ready To Move,Chembur,2 BHK,,570,2,1,62
Super built-up  Area,Ready To Move,Borivali,3 BHK,MadorSp,1715,3,2,95
Built-up  Area,Ready To Move,Juhu,2 BHK,,1200,2,1,55
Plot  Area,Ready To Move,Khar,6 Bedroom,,1200,5,1,280
Super built-up  Area,Ready To Move,Khar,2 BHK,,703,2,1,60
Super built-up  Area,18-Sep,Juhu,2 BHK,,921,2,2,29.47
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Saavean,1144,2,2,65
Super built-up  Area,21-Jan,Powai,1 BHK,PrarePa,525,1,1,26.01
Super built-up  Area,Ready To Move,Chembur,3 BHK,Asnex A,1400,2,2,56
Super built-up  Area,18-Jun,Khar,1 BHK,Soresea,661,1,1,33
Plot  Area,Ready To Move,Andheri,6 Bedroom,,1200,6,2,160
Built-up  Area,Ready To Move,Worli,5 BHK,,1200,5,2,70
Super built-up  Area,Ready To Move,Borivali,3 BHK,Prensya,1705,3,1,91
Plot  Area,Ready To Move,Powai,5 Bedroom,,1035,5,1,170
Super built-up  Area,Ready To Move,Dadar,3 BHK,SRldsnt,1430,2,0,55
Super built-up  Area,Ready To Move,Dadar,2 BHK,Srconor,1240,2,2,55
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1325,2,2,60.8
Super built-up  Area,Ready To Move,Kurla,2 BHK,MenueNo,1230,2,2,44
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1000,2,3,28
Plot  Area,Ready To Move,Colaba,4 Bedroom,,740,2,1,24.5
Super built-up  Area,Ready To Move,Powai,3 BHK,SLnssPr,1330,2,2,46.45
Super built-up  Area,Ready To Move,Dadar,4 BHK,Adeatlm,3005,5,,275
Super built-up  Area,Ready To Move,Khar,3 BHK,FBazaah,1300,3,2,170
Super built-up  Area,Ready To Move,Worli,2 BHK,RInceeg,1243,2,2,46
Built-up  Area,Ready To Move,Andheri,4 Bedroom,,936,2,1,60.84
Super built-up  Area,18-Apr,Chembur,3 BHK,,1500,2,2,100
Plot  Area,Ready To Move,Colaba,3 Bedroom,,1200,4,1,156
Built-up  Area,Ready To Move,Lower Parel,2 BHK,,1073,2,2,72
Built-up  Area,Ready To Move,Borivali,2 BHK,GKityde,1300,2,2,56
Plot  Area,18-May,Vile Parle,4 Bedroom,Prldsum,4201,4,3,435
Built-up  Area,18-Dec,Colaba,2 BHK,,1065,2,1,30.75
Super built-up  Area,18-Apr,Mulund,2 BHK,Prtates,1216,2,1,66.88
Built-up  Area,Ready To Move,Dadar,3 BHK,DLhtsen,1252,3,2,59
Super built-up  Area,19-Aug,Dadar,2 BHK,,1196,2,1,44.8
Built-up  Area,Ready To Move,Andheri,2 BHK,Srrnasa,1027,2,2,44
Plot  Area,Ready To Move,Worli,3 Bedroom,,610,2,1,75
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1270,2,2,57.15
Super built-up  Area,16-Nov,Andheri,2 BHK,Prs 2hi,1171,2,2,39
Super built-up  Area,Ready To Move,Borivali,3 BHK,,1215,2,3,48.6
Plot  Area,Ready To Move,Santacruz,1 Bedroom,,600,1,0,20
Super built-up  Area,19-Dec,Kurla,2 BHK,Oreldhi,1180,2,1,77
Built-up  Area,18-Aug,Dadar,2 BHK,Sryalan,1160,2,1,33.51
Plot  Area,Ready To Move,Juhu,4 Bedroom,LGrldti,4382,4,3,400
Super built-up  Area,20-Sep,Andheri,3 BHK,Goted U,2140,3,2,139
Super built-up  Area,Ready To Move,Andheri,3 BHK,GoandAc,1500,3,1,100
Super built-up  Area,Ready To Move,Mulund,2 BHK,Naavehi,1008,2,2,52
Super built-up  Area,Ready To Move,Colaba,3 BHK,SoechHa,1921,4,3,129
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Puncyya,1127,2,2,32
Super built-up  Area,18-May,Borivali,3 BHK,Pumesim,1621,3,1,124
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,2400,3,0,360
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1030,2,2,77.25
Super built-up  Area,18-Aug,Juhu,2 BHK,,1314,2,1,84
Super built-up  Area,Ready To Move,Kurla,3 BHK,GRhtiru,1220,3,1,56
Plot  Area,18-Mar,Borivali,4 Bedroom,,600,3,1,97
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Meowns ,1590,2,3,85
Super built-up  Area,Ready To Move,Santacruz,2 BHK,,703,2,1,49.5
Super built-up  Area,18-Aug,Colaba,3 BHK,Maunt M,1795,3,2,64.62
Built-up  Area,Ready To Move,Lower Parel,4 Bedroom,,3000,3,0,132
Super built-up  Area,18-Dec,Borivali,4 BHK,Klark L,4395,4,2,242
Super built-up  Area,Ready To Move,Bandra,2 BHK,KBityo ,825,2,1,35
Super built-up  Area,18-Dec,Khar,4 BHK,Nileyap,4025,6,1,350
Super built-up  Area,22-Jan,Andheri,3 BHK,,1254,2,1,70
Built-up  Area,Ready To Move,Colaba,3 BHK,,2040,3,2,114
Super built-up  Area,Ready To Move,Bandra,3 BHK,Prtanha,2215,4,2,154
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Tahtsla,1478,2,2,125
Super built-up  Area,Ready To Move,Worli,3 BHK,Sariaat,2475,4,3,337
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Bhacy L,1669,3,2,298
Super built-up  Area,Ready To Move,Borivali,3 BHK,Roarkan,1820,3,2,79.5
Super built-up  Area,19-Dec,Andheri,3 BHK,Prhar G,1623,3,1,89
Super built-up  Area,Ready To Move,Worli,2 BHK,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Kurla,2 BHK,Elodsre,1200,2,2,40.5
Super built-up  Area,Ready To Move,Andheri,3 BHK,Sklls C,1613,3,3,72
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Almid P,1293,2,2,80
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Corus C,1065,2,2,28.5
Super built-up  Area,18-Apr,Kurla,2 BHK,SunetSo,940,2,1,69.57
Super built-up  Area,Ready To Move,Worli,3 BHK,Trurea ,1181,2,1,65
Super built-up  Area,Ready To Move,Juhu,3 BHK,Sariaat,2215,3,2,275
